STRASSE,HAUSNUMMER,PLZ,ORT,LAT,LON,SOURCE,OSM_ID
Bahnhofstraße,10,,,46.7238468,14.0938816,node,1860531984
Hauptplatz,7,,,46.7232541,14.0923585,node,1861977924
Bürgergasse,2,9560,Feldkirchen in Kärnten,46.7235213,14.0932597,node,1861978017
Hochrindlstraße,38,9571,Albeck,46.8587332,13.9923903,node,2882500841
Bahnhofstraße,7,9551,,46.682245,13.9736037,node,2920466630
Himmelberger Straße,4,,,46.7255004,14.0884812,node,2998018633
Hauptplatz,8,,,46.7232647,14.0924707,node,2998018635
Hauptplatz,12,,,46.7235439,14.0927406,node,2998018636
Hauptplatz,9,,,46.7233449,14.0925539,node,2998018735
Hauptplatz,15,,,46.723698,14.0923659,node,2998018736
Hauptplatz,16,,,46.7237322,14.0922413,node,2998018737
Heftgasse,3,,,46.7233607,14.0910013,node,2998018739
Hauptplatz,10,,,46.7234436,14.0926563,node,2998018833
Hauptplatz,13,,,46.7236452,14.0926406,node,2998019033
Heftgasse,5a,,,46.7231939,14.0904521,node,2998019035
Heftgasse,9,,,46.7233504,14.0904074,node,2998019133
Heftgasse,7,,,46.7234182,14.0906488,node,2998019134
Heftgasse,5,,,46.7233672,14.0907813,node,2998019135
Bambergerplatz,2,,,46.7255412,14.0909404,node,2998019136
Heftgasse,4,,,46.7233159,14.0909537,node,2998019233
Heftgasse,6,,,46.7234182,14.0908108,node,2998019234
Heftgasse,8,,,46.7234821,14.0906496,node,2998019235
Sonnenstrasse,8,,,46.824613,14.0584907,node,3445410107
Glanegg,103,,,46.7118219,14.2145768,node,3504741826
Fischerweg,2,9551,,46.6795118,13.9690717,node,4382937814
Hauptplatz,2,,,46.7237171,14.0917897,node,4394496464
Hauptplatz,14,,,46.7236581,14.092502,node,4394561304
Rauterplatz,1,9560,Feldkirchen in Kärnten,46.7244459,14.0922006,node,4394732747
Amthofgasse,1,,,46.72292,14.0909518,node,4394732748
Schillerplatz,1,,,46.7250125,14.0929794,node,4394732749
Kirchgasse,10,,,46.7252046,14.0929852,node,4394732750
Kirchgasse,12,,,46.7252868,14.0930865,node,4394732751
Kirchgasse,15,,,46.7254872,14.0933174,node,4394732752
Hauptplatz,17,,,46.7237604,14.0921038,node,4394732753
Hauptplatz,18,,,46.723772,14.0919818,node,4394732754
Kirchgasse,18,,,46.7255782,14.093421,node,4394732755
Rauterplatz,1a,,,46.7241995,14.0919177,node,4394732756
Kirchgasse,20,,,46.7256335,14.0935187,node,4394732757
Hauptplatz,3,,,46.7235572,14.0917104,node,4394732758
Hauptplatz,4,,,46.7234445,14.0918359,node,4394732759
Hauptplatz,5,,,46.7233791,14.0920461,node,4394732760
Hauptplatz,6,,,46.723307,14.0922259,node,4394732761
Hauptplatz,1,9560,Feldkirchen in Kärnten,46.7238964,14.0918139,node,4394732774
10.-Oktober-Straße,11,,,46.7244236,14.0942601,node,4394822636
10.-Oktober-Straße,13,,,46.7243841,14.0943419,node,4394822637
10.-Oktober-Straße,15,,,46.7243003,14.094481,node,4394822638
10.-Oktober-Straße,5,,,46.7245421,14.0938685,node,4394822639
10.-Oktober-Straße,7,,,46.7244725,14.0939939,node,4394822640
10.-Oktober-Straße,9,,,46.7244659,14.0941783,node,4394822641
10.-Oktober-Straße,3,9560,Feldkirchen in Kärnten,46.7246406,14.0937265,node,4394834407
Bürgergasse,3,,,46.7236058,14.0932569,node,4394925154
Bürgergasse,5,,,46.7236847,14.0933372,node,4394925156
Bürgergasse,6,,,46.7237413,14.0933426,node,4394925157
Bürgergasse,7,,,46.723768,14.0934401,node,4394925158
Bürgergasse,8,,,46.723862,14.0934768,node,4394925159
Kirchgasse,28,,,46.7259942,14.0939732,node,4395169598
Kirchgasse,31,,,46.7262787,14.0942052,node,4395169599
Kirchgasse,32,,,46.7261234,14.0943385,node,4395169600
Kirchgasse,33,,,46.7263534,14.0945379,node,4395169601
Kirchgasse,34,,,46.7262539,14.0944573,node,4395169602
10.-Oktober-Straße,21a,,,46.7233532,14.0962243,node,4395277148
10.-Oktober-Straße,21,,,46.7234509,14.0960473,node,4395277149
St. Ruprechter Straße,6,,,46.7240229,14.0965262,node,4395303330
St. Ruprechter Straße,8,,,46.7239346,14.0971701,node,4395303331
Bahnhofstraße,14,,,46.7236051,14.0945778,node,4395361426
Bahnhofstraße,14a,,,46.7235491,14.0944683,node,4395361427
Bahnhofstraße,15,,,46.7234643,14.0943587,node,4395361428
Bahnhofstraße,15a,,,46.7233498,14.094216,node,4395361429
Bahnhofstraße,26,,,46.7229906,14.0952385,node,4395747004
10.-Oktober-Straße,24,,,46.7230673,14.0956534,node,4395758092
Klagenfurter Straße,1,,,46.7221289,14.0959402,node,4397272930
Klagenfurter Straße,2,,,46.7220454,14.0959717,node,4397272931
Klagenfurter Straße,3,,,46.7219068,14.0960235,node,4397272932
