OSM_ID,OSM_TYPE,NAME,BUILDING,ADDR_STRASSE,ADDR_HAUSNUMMER,ADDR_PLZ,ADDR_ORT,LAT,LON
55284200,way,Mineralienmuseum,yes,,15,9565,Reichenau,46.91468152,13.876779720000002
55284225,way,Mythos Edelstein Kranzelbinder,yes,Turracherhöhe,113,9565,Reichenau,46.91432062,13.876945899999999
59605173,way,Pfarrkirche Hl. Andreas,church,,17a,9560,Steuerberg,46.75962491666667,14.096146783333333
59605175,way,Gemeindehaus Wachsenberg,yes,,48,9560,Steuerberg,46.76095224000001,14.094716499999999
59605918,way,Kirchenwirt,yes,,22,9560,Steuerberg,46.760858407692304,14.094281876923075
59607239,way,,yes,,19,9560,Steuerberg,46.759942599999995,14.095550699999999
59607440,way,,yes,,21,9560,Steuerberg,46.760418344444446,14.09518891111111
59607441,way,,yes,,45,9560,Steuerberg,46.76046262857143,14.094686842857142
59607442,way,,yes,,24a,9560,Steuerberg,46.76068154444444,14.095056877777777
59607444,way,Gasthaus zum alten Messner,yes,,23,9560,Steuerberg,46.76132098,14.095066059999999
59608733,way,,yes,,104,9560,Steuerberg,46.763964766666675,14.099862188888888
59684944,way,,yes,,16,9560,Steuerberg,46.759673,14.093957080000001
59684948,way,,yes,,15,9560,Steuerberg,46.75941254000001,14.094013560000002
59684949,way,,yes,,31,9560,Steuerberg,46.75963793333334,14.093362911111113
59685574,way,,yes,,64,9560,Steuerberg,46.76336523333333,14.098908077777779
59685575,way,,yes,,26,9560,Steuerberg,46.76381454285714,14.099494042857144
59685577,way,,yes,,50,9560,Steuerberg,46.763919720000004,14.09917438
59685579,way,,yes,,121,9560,Steuerberg,46.759536919999995,14.09783232
59685580,way,,yes,,25,9560,Steuerberg,46.76393934,14.0975268
59685581,way,,yes,,49a,9560,Steuerberg,46.763859200000006,14.0967591
59685584,way,,yes,,49,9560,Steuerberg,46.76370204,14.0966865
59685585,way,,yes,,72,9560,Steuerberg,46.76369935714286,14.10017877142857
59685586,way,,yes,,70,9560,Steuerberg,46.76320824,14.10003944
59685587,way,,yes,,110,9560,Steuerberg,46.76386581333333,14.1009112
59685588,way,,yes,,63,9560,Steuerberg,46.76397482,14.10128416
59685589,way,,yes,,103,9560,Steuerberg,46.76409257142858,14.101606914285714
59685590,way,,yes,,105,9560,Steuerberg,46.76388367142857,14.101887271428572
59685591,way,,yes,,73,9560,Steuerberg,46.764005999999995,14.102125066666666
59685592,way,,yes,,99,9560,Steuerberg,46.764375799999996,14.102055357142858
59685593,way,,yes,,111,9560,Steuerberg,46.76424061428572,14.10179897142857
59685594,way,,yes,,69,9560,Steuerberg,46.76354761428571,14.101104385714285
59685595,way,,yes,,27,9560,Steuerberg,46.762622519999994,14.09986926
59685596,way,,yes,,71,9560,Steuerberg,46.76222368,14.09916752
61974544,way,,yes,,74,9565,Reichenau,46.85192262857144,13.899288485714285
61974546,way,,yes,,35,9565,Reichenau,46.851666720000004,13.90118428
61974551,way,Bauhof,public,,112,9565,Reichenau,46.85176682857143,13.899914785714286
61974563,way,,yes,,104,9565,Reichenau,46.85380062,13.896619700000002
61974565,way,,yes,,64,9565,Reichenau,46.851281459999996,13.900848960000001
61974567,way,"Raiffeisenbank Nockberge, Bankstelle Ebene Reichenau",yes,Ebene Reichenau,102,9565,Reichenau,46.854085600000005,13.893407871428574
61974571,way,,yes,,103,9565,Reichenau,46.853900450000005,13.8962999
61974572,way,,yes,,51,9565,Reichenau,46.8510486,13.8999586
61974573,way,,yes,,68,9565,Reichenau,46.851513260000004,13.90072538
61974577,way,,yes,,91,9565,Reichenau,46.85232887777778,13.897044777777777
61974579,way,,yes,,85,9565,Reichenau,46.85411682,13.89615422
61974582,way,,yes,,58,9565,Reichenau,46.85259608571429,13.897243314285715
61974588,way,,yes,,105,9565,Reichenau,46.85358714,13.89617686
