Zeitpunkt;Rolle;Benutzer;Aktion;Titel;Typ;Verantwortlich;Von Status;Nach Status;Einsatz;Notiz;ID
"14.10.2025  15:40:34";"";"";"Angelegt";"t";"r";"EL";"";"Neu";"";"";"1760456434405-7ubs"
"14.10.2025  15:40:43";"";"";"Position geändert";"t";"r";"EL";"Neu";"Erledigt";"";"";"1760456434405-7ubs"
"14.10.2025  15:44:14";"";"";"Position geändert";"t";"r";"EL";"Erledigt";"Erledigt";"";"";"1760456434405-7ubs"
"14.10.2025  15:45:56";"";"";"Position geändert";"t";"r";"EL";"Erledigt";"Erledigt";"";"";"1760456434405-7ubs"
"14.10.2025  15:58:43";"";"";"Position geändert";"t";"r";"EL";"Erledigt";"In Bearbeitung";"";"";"1760456434405-7ubs"
"14.10.2025  15:58:50";"";"";"Position geändert";"t";"r";"EL";"In Bearbeitung";"Erledigt";"";"";"1760456434405-7ubs"
"14.10.2025  16:04:28";"";"";"Position geändert";"t";"r";"EL";"Erledigt";"In Bearbeitung";"";"";"1760456434405-7ubs"
"14.10.2025  16:04:31";"";"";"Position geändert";"t";"r";"EL";"In Bearbeitung";"Neu";"";"";"1760456434405-7ubs"
"14.10.2025  16:05:15";"";"";"Position geändert";"t";"r";"EL";"Neu";"In Bearbeitung";"";"";"1760456434405-7ubs"
"14.10.2025  16:05:16";"";"";"Position geändert";"t";"r";"EL";"In Bearbeitung";"Erledigt";"";"";"1760456434405-7ubs"
"14.10.2025  16:15:30";"";"";"Position geändert";"t";"r";"EL";"Erledigt";"In Bearbeitung";"";"";"1760456434405-7ubs"
"14.10.2025  16:15:32";"";"";"Position geändert";"t";"r";"EL";"In Bearbeitung";"Neu";"";"";"1760456434405-7ubs"
"14.10.2025  16:15:35";"";"";"Position geändert";"t";"r";"EL";"Neu";"In Bearbeitung";"";"";"1760456434405-7ubs"
"14.10.2025  16:15:37";"";"";"Position geändert";"t";"r";"EL";"In Bearbeitung";"Erledigt";"";"";"1760456434405-7ubs"
"14.10.2025  16:16:25";"";"";"Position geändert";"t";"r";"EL";"Erledigt";"In Bearbeitung";"";"";"1760456434405-7ubs"
"14.10.2025  16:16:30";"";"";"Position geändert";"t";"r";"EL";"In Bearbeitung";"Neu";"";"";"1760456434405-7ubs"
"14.10.2025  16:19:10";"";"";"Position geändert";"t";"r";"EL";"Neu";"In Bearbeitung";"";"";"1760456434405-7ubs"
"14.10.2025  16:19:12";"";"";"Position geändert";"t";"r";"EL";"In Bearbeitung";"Erledigt";"";"";"1760456434405-7ubs"
"14.10.2025  16:20:33";"";"";"Position geändert";"t";"r";"EL";"Erledigt";"In Bearbeitung";"";"";"1760456434405-7ubs"
"14.10.2025  16:20:35";"";"";"Position geändert";"t";"r";"EL";"In Bearbeitung";"Neu";"";"";"1760456434405-7ubs"
"14.10.2025  16:27:17";"";"";"Position geändert";"t";"r";"EL";"Neu";"In Bearbeitung";"";"";"1760456434405-7ubs"
"14.10.2025  16:31:52";"";"";"Angelegt";"Einsatzmeldung";"LAGE";"LtStb";"";"Neu";"";"";"1760459512451-lgl8"
"14.10.2025  16:32:07";"";"";"Position geändert";"Einsatzmeldung";"LAGE";"LtStb";"Neu";"Erledigt";"";"";"1760459512451-lgl8"
